M-code,Date,Stat week,Tag group,Card #,Fish #,Direction,Time in,Sex,Length,Time out,Notes,Age,Lat,Long,Mesh size,Secchi dis,Secchi re,Air temp,Water temp,Wind sp,Wind dir,Cloud cov,Final fate (num),Final fate spec.,FF Loc,Date,Time,Gear,Final Notes
3855,8/25/2020,35,1,26,8,S,16:18,M,558,15:22,,4,63.95455,-160.85202,5/8,1.25,1,63,57,5,S,50,1,a,Unalakleet,8/26/2020,9:32:22,,
3875,8/25/2020,35,1,26,9,N,16:19,M,486,15:22,,1.1,63.95455,-160.85202,5/8,1.25,1,63,57,5,S,50,1,b,Unalakleet,8/28/2020,,5 1/2,
3895,8/25/2020,35,1,26,10,N,16:29,M,552,16:37,,1.1,63.95455,-160.85202,5/8,1.25,1,63,57,5,S,50,1,a,Unalakleet,8/26/2020,22:25:58,,
3915,8/25/2020,35,1,26,6,S,16:09,F,564,15:16,3815 and 3915 were confused - not sure which ended up on which fish,3.1,63.95455,-160.85202,5/8,1.25,1,63,57,5,S,50,1,a,Unalakleet,8/27/2020,9:00:00,,
3935,8/25/2020,35,1,27,1,N,16:30,M,493,16:37,,2.1,63.95455,-160.85202,5/8,1.25,1,63,57,5,S,50,1,a,Unalakleet,8/26/2020,9:33:19,,
3955,8/25/2020,35,1,27,2,N,16:32,F,536,16:38,,2.1,63.95455,-160.85202,5/8,1.25,1,63,57,5,S,50,3,a,,,,,
3975,8/25/2020,35,1,27,3,S,16:33,M,564,16:39,,1.1,63.95455,-160.85202,5/8,1.25,1,63,57,5,S,50,1,a,Unalakleet,,,,
3995,8/25/2020,35,1,27,4,N,16:35,M,569,16:41,,2.1,63.95455,-160.85202,5/8,1.25,1,63,57,5,S,50,2,a,S,,,,
4015,7/31/2020,31,2,1,1,S,10:20,M,533,10:30,Missing 1 scale,2.1,64.30035,-161.10313,7/8,0.5,0.25,,58,5,S,100,1,a,Unalakleet,8/5/2020,17:20:47,,
4035,7/31/2020,31,2,1,2,S,10:21,M,464,10:30,Missing 1 scale,2.1,64.30035,-161.10313,7/8,0.5,0.25,,58,5,S,100,1,a,Unalakleet,,,,"Entered Unalakleet on 8/4, left on 8/13"
4055,7/31/2020,31,2,1,3,S,11:13,M,569,11:20,,1.1,64.30035,-161.10313,7/8,0.5,0.25,,58,5,S,100,4,,,,,,
4075,7/31/2020,31,2,2,1,S,13:00,M,561,,,2.1,64.27227,-160.04572,7/8,0.5,0.25,,58,5,S,100,1,a,Shaktoolik,8/5/2020,1:53:42,,
4095,7/31/2020,31,2,2,2,S,14:32,M,573,14:42,,7,64.31847,-161.13440,7/8,0.25,0.1,,57,5,SW,100,4,,,,,,Chinook
4115,7/31/2020,31,2,2,3,N,15:56,M,482,,,7,64.31847,-161.13440,7/8,0.25,0.1,,57,5,SW,100,3,b,6,8/2/2020,8:00:00,5 7/8,Chinook
4135,7/31/2020,31,2,3,1,N,20:51,F,491,20:54,,3,64.30087,-161.16278,7/8,1,0.7,,57,2,N,100,1,a,Unalakleet,8/13/2020,14:16:02,,"Entered Egavik 8/10 17:47, left 8/11 19:37"
4155,8/1/2020,32,2,3,2,S,12:24,F,549,12:30,,2.1,64.27188,-161.04538,7/8,1,0.75,,57,20,NE,25,1,a,Unalakleet,8/6/2020,8:14:50,,
4175,8/5/2020,32,2,4,1,N,10:05,M,522,10:12,,2.1,64.20107,-160.95113,7/8,1,0.75,51,54,,,85,2,a,S,,,,
4195,8/5/2020,32,2,4,2,S,10:30,F,554,10:35,,2.1,64.20107,-160.95113,7/8,1,0.75,51,54,,,85,1,b,Unalakleet,8/13/2020,,5 7/8,
4215,8/5/2020,32,2,4,3,N,12:15,M,502,12:21,,2.1,64.24340,-160.99139,7/8,1,0.75,58,53,5,N,75,1,a,Shaktoolik,,,,"Entered Shaktoolik on 8/11, left 9/4"
4235,8/5/2020,32,2,4,4,N,12:33,M,564,12:37,,2.1,64.24340,-160.99139,7/8,1,0.75,58,53,5,N,75,2,a,,,,,
4255,8/5/2020,32,2,4,5,N,13:32,M,579,,,1.1,64.27306,-161.04833,SN,1,0.75,,58,,,90,1,a,Unalakleet,8/12/2020,18:09:20,,Recaptured 8-15 with subsistence net
4275,8/5/2020,32,2,4,6,S,14:55,F,505,15:00,,2.1,64.18247,-160.95675,5/8,1.5,1.25,,59,,,50,1,a,Unalakleet,8/7/2020,22:44:48,,
4295,8/6/2020,32,2,5,1,S,8:48,M,509,8:53,,3.1,64.30087,-161.16278,5/8,1.5,1.25,54,56,5,SE,100,1,a,Unalakleet,8/8/2020,20:35:42,,
4315,8/6/2020,32,2,5,2,S,9:06,F,521,9:11,,2.1,64.30087,-161.16278,5/8,1.5,1.25,54,56,5,SE,100,1,a,Unalakleet,8/8/2020,12:43:19,,
4335,8/6/2020,32,2,5,3,S,9:45,F,576,9:50,,3,64.30087,-161.16278,5/8,1.5,1.25,54,56,5,SE,100,1,a,Unalakleet,8/10/2020,1:51:38,,Found on river bank 9/3/20
4355,8/7/2020,32,2,6,1,S,9:25,M,602,9:30,,3,64.31800,-161.13549,5/8,1.2,0.8,57,57,10,S,100,2,a,S,,,,
4375,8/7/2020,32,2,6,2,S,10:20,M,503,10:30,,2.1,64.28751,-161.07744,SN,1.5,1.3,57,57,5,S,75,1,a,Unalakleet,8/10/2020,22:53:36,,
4395,8/7/2020,32,2,6,3,S,10:21,M,552,10:30,,2.1,64.28751,-161.07744,SN,1.5,1.3,57,57,5,S,75,3,a,,,,,Found at boat launch 8-28
4415,8/7/2020,32,2,6,4,N,12:57,M,486,13:08,Missing 1 scale,1.1,64.20131,-160.95188,SN,2.5,2,57,57,1,S,90,1,a,Egavik,8/16/2020,6:32:16,,
4435,8/7/2020,32,2,6,5,N,13:30,M,501,13:35,,1.1,64.20131,-160.95188,SN,2.5,2,57,57,1,S,90,1,a,Unalakleet,,,,
4455,8/7/2020,32,2,6,6,S,14:05,F,568,1410,,3,64.20131,-160.95188,7/8,2.5,2,57,57,1,S,90,3,a,,,,,
4475,8/7/2020,32,2,6,7,S,14:05,M,549,14:10,,3.1,64.20131,-160.95188,7/8,2.5,2,57,57,1,S,90,1,a,Unalakleet,8/10/2020,10:33:24,,Recaptured inriver 8/17/20 on RR
4495,8/7/2020,32,2,6,8,S,14:20,M,515,14:25,,1.1,64.20131,-160.95188,7/8,2.5,2,57,57,1,S,90,1,a,Egavik,8/11/2020,0:21:40,,
4515,8/7/2020,32,2,6,9,S,15:05,M,511,15:15,Needed rehab,3,64.20131,-160.95188,7/8,2.5,2,57,57,1,S,90,1,a,Unalakleet,8/11/2020,14:49:50,,
4535,8/10/2020,33,2,7,1,S,9:23,F,558,9:28,,2.1,64.28699,-161.07575,5/8,0.9,0.6,51,58,1,,75,1,a,Unalakleet,8/13/2020,22:55:58,,
4555,8/10/2020,33,2,7,2,S,9:52,M,484,10:00,bleeding,2.1,64.28699,-161.07575,5/8,0.9,0.6,51,58,1,,75,1,a,Unalakleet,8/26/2020,19:33:00,,"Entered Shaktoolik on 8/14 6:48, left 8/25 1:58"
4575,8/10/2020,33,2,7,3,S,10:10,M,558,10:15,,2.1,64.28699,-161.07575,5/8,0.9,0.6,51,58,1,,75,1,a,Unalakleet,8/13/2020,22:12:17,,Recaptured inriver 8/16/20 on RR
4595,8/10/2020,33,2,7,4,N,11:08,M,542,,,2.1,64.28699,-161.07575,5/8,0.9,0.6,51,58,1,,75,1,a,Unalakleet,,,,
4615,8/10/2020,33,2,7,5,N,12:14,F,544,12:19,,1.1,64.13200,-160.95424,7/8,1.5,1.25,62,58,1,S,25,1,a,Unalakleet,8/13/2020,0:47:51,,
4635,8/10/2020,33,2,7,6,N,12:26,M,535,12:30,,2.1,64.13200,-160.95424,7/8,1.5,1.25,62,58,1,S,25,1,a,Shaktoolik,8/12/2020,10:45:21,,
4655,8/10/2020,33,2,7,7,N,12:29,M,485,12:33,,1.1,64.13200,-160.95424,7/8,1.5,1.25,62,58,1,S,25,1,a,Unalakleet,8/13/2020,13:21:49,,
4675,8/10/2020,33,2,7,8,S,12:36,M,525,12:42,,2.1,64.13200,-160.95424,7/8,1.5,1.25,62,58,1,S,25,1,a,Egavik,8/17/2020,21:59:54,,
4695,8/10/2020,33,2,7,9,S,13:40,M,546,13:43,,2.1,64.18195,-160.95771,SN,1.5,1.25,,58,1,,,1,b,Egavik,8/11/2020,,RR,
4715,8/10/2020,33,2,7,10,S,13:42,F,533,13:49,GASH,2.1,64.18195,-160.95771,SN,1.5,1.25,,58,1,,,3,a,,,,,
4735,8/10/2020,33,2,8,1,S,14:00,M,554,14:03,,3,64.18195,-160.95771,SN,1.5,1.25,,58,1,,,1,a,Egavik,8/12/2020,23:07:28,,
4755,8/10/2020,33,2,8,2,S,14:01,M,521,14:04,,3,64.18195,-160.95771,SN,1.5,1.25,,58,1,,,1,a,Unalakleet,8/12/2020,9:36:45,,
4775,8/10/2020,33,2,8,3,N,14:02,M,579,14:06,,2.1,64.18195,-160.95771,SN,1.5,1.25,,58,1,,,1,a,Egavik,8/12/2020,22:37:00,,
4795,8/10/2020,33,2,8,4,S,14:40,M,499,14:56,,2.1,64.18195,-160.95771,7/8,1.5,1.25,,58,1,,,1,a,Unalakleet,8/11/2020,14:40:09,,
4815,8/10/2020,33,2,8,5,S,14:41,M,535,14:56,,2.1,64.18195,-160.95771,7/8,1.5,1.25,,58,1,,,1,a,Unalakleet,8/13/2020,2:12:45,,
4835,8/10/2020,33,2,8,6,N,14:50,M,563,14:57,,2.1,64.18195,-160.95771,7/8,1.5,1.25,,58,1,,,1,b,Unalakleet,8/14/2020,,5 3/4,
4855,8/10/2020,33,2,8,7,N,14:57,M,488,14:57,,2.1,64.18195,-160.95771,7/8,1.5,1.25,,58,1,,,4,,,,,,
4875,8/10/2020,33,2,8,8,N,15:22,M,505,15:27,,3,64.18195,-160.95771,7/8,1.5,1.25,,58,1,,,1,a,Unalakleet,,,,
4895,8/11/2020,33,2,9,1,N,9:27,M,561,9:42,,2.1,64.18224,-160.95687,7/8,,,52,58,,,,1,a,Unalakleet,,,,
4915,8/11/2020,33,2,9,2,S,9:30,F,548,9:42,,7,64.18224,-160.95687,5/8,,,52,58,,,,3,a,,,,,Sockeye 
4935,8/11/2020,33,2,9,3,S,9:30,M,550,9:42,,2.1,64.18224,-160.95687,5/8,,,52,58,,,,1,b,Unalakleet,8-15,,5 3/4,
4955,8/11/2020,33,2,9,4,S,9:31,M,569,9:42,,2.1,64.18224,-160.95687,5/8,,,52,58,,,,1,a,Unalakleet,8/17/2020,6:35:53,,
4975,8/11/2020,33,2,9,5,S,9:40,M,537,9:56,,7,64.18224,-160.95687,5/8,,,52,58,,,,3,a,,,,,Chinook 
4995,8/11/2020,33,2,9,6,S,9:41,M,545,9:56,,2.1,64.18224,-160.95687,5/8,,,52,58,,,,1,a,Unalakleet,8/16/2020,16:03:17,,"Entered Egavik 8/16 16:00, left 8/17 12:13"
5015,8/11/2020,33,2,9,7,S,10:00,F,519,10:13,,2.1,64.18224,-160.95687,7/8,,,52,58,,,,3,a,,,,,
5035,8/11/2020,33,2,9,8,S,10:01,M,510,10:13,,1.1,64.18224,-160.95687,5/8,,,52,58,,,,1,a,Unalakleet,8/14/2020,16:17:08,,
5055,8/11/2020,33,2,9,9,S,10:03,M,522,10:14,,2.1,64.18224,-160.95687,5/8,,,52,58,,,,1,a,Inglutalik,8/15/2020,11:16:55,,
5075,8/11/2020,33,2,9,10,S,10:05,F,504,10:15,,3,64.18224,-160.95687,5/8,,,52,58,,,,1,a,Unalakleet,8/14/2020,11:05:44,,
5095,8/11/2020,33,2,10,1,S,10:15,F,523,10:25,,1.1,64.18224,-160.95687,7/8,,,52,58,,,,2,a,S,,,,
5115,8/11/2020,33,2,10,2,S,10:16,M,525,10:25,,4,64.18224,-160.95687,7/8,,,52,58,,,,3,a,,,,,"Recaptured in commercial fishery (UNK, below blueberry)"
5135,8/11/2020,33,2,10,3,S,10:17,F,565,10:24,,2.1,64.18224,-160.95687,7/8,,,52,58,,,,3,a,,,,,
5155,8/11/2020,33,2,10,4,N,10:47,F,523,10:56,,1.1,64.18224,-160.95687,5/8,,,52,58,,,,4,,,,,,
5175,8/11/2020,33,2,10,5,S,10:49,M,475,10:57,,1.1,64.18224,-160.95687,7/8,,,52,58,,,,1,a,Unalakleet,8/13/2020,16:10:05,,
5195,8/11/2020,33,2,10,6,S,10:51,M,541,10:58,NA,2.1,64.18224,-160.95687,7/8,,,52,58,,,,1,a,Golsovia,8/16/2020,6:28:43,,pinged in Unalakleet 8/12/20 at 21:07:48
5215,8/11/2020,33,2,10,7,S,11:03,M,584,11:13,,2.1,64.18224,-160.95687,7/8,,,52,58,,,,1,a,Unalakleet,8/22/2020,20:30:00,RR,
5235,8/11/2020,33,2,10,8,S,11:05,F,512,11:13,,1.1,64.18224,-160.95687,7/8,,,52,58,,,,1,a,Unalakleet,8/13/2020,8:07:10,,
5255,8/11/2020,33,2,10,9,N,11:07,M,563,11:15,,2.1,64.18224,-160.95687,7/8,,,52,58,,,,1,b,Unalakleet,8/12/2020,19:00:00,5 3/4,
5275,8/11/2020,33,2,10,10,N,11:07,F,526,11:18,,2.1,64.18224,-160.95687,5/8,,,52,58,,,,1,a,Shaktoolik,,,,"Entered Shaktoolik 8/14, left 8/22"
5295,8/11/2020,33,2,11,1,N,11:08,F,535,11:20,,3,64.18224,-160.95687,5/8,,,52,58,,,,1,a,Egavik,8/18/2020,11:49:22,,
5315,8/11/2020,33,2,11,2,S,11:15,M,512,11:39,,1.1,64.18224,-160.95687,5/8,,,52,58,,,,1,b,Unalakleet,8/13/2020,15:15:00,4 1/2,
5335,8/11/2020,33,2,11,3,S,11:16,M,543,11:42,Seal bite,2.1,64.18224,-160.95687,7/8,,,52,58,,,,1,b,Unalakleet,8/14/2020,9:00,5 7/8,
5355,8/11/2020,33,2,11,4,S,13:40,F,520,13:44,,2.1,64.24019,-160.98668,5/8,1,0.5,62,59,1,,0,3,a,,,,,
5375,8/11/2020,33,2,11,5,N,13:58,F,542,14:05,,2.1,64.24019,-160.98668,5/8,1,0.5,62,59,1,,0,4,,,,,,
5395,8/11/2020,33,2,11,6,S,14:43,F,535,14:44, Abby tagged! (No scales),5,64.24019,-160.98668,7/8,1,0.5,62,59,1,,0,3,a,,,,,
5415,8/11/2020,33,2,11,7,S,14:52,F,545,14:56,,1.1,64.24019,-160.98668,7/8,1,0.5,62,59,1,,0,2,a,S,,,,
5435,8/11/2020,33,2,11,8,N,14:53,M,485,14:57,,2.1,64.24019,-160.98668,7/8,1,0.5,62,59,1,,0,3,a,,,,,
5455,8/11/2020,33,2,11,9,N,15:45,F,554,15:50,,2.1,64.24019,-160.98668,5/8,1,0.5,62,59,1,,0,4,,,,,,
5475,8/12/2020,33,2,12,1,S,9:43,F,520,9:48,GASH,2.1,64.18191,-160.95750,5/8,1.2,1,54,58,1,,75,2,a,S,,,,
5495,8/12/2020,33,2,12,2,N,10:08,M,554,10:16,,2.1,64.18191,-160.95750,7/8,1.2,1,54,58,1,,75,2,a,S,,,,
5515,8/12/2020,33,2,12,3,N,10:09,F,565,10:18,,2.1,64.18191,-160.95750,5/8,1.2,1,54,58,1,,75,3,b,6,8/16/2020,,5 3/4 + 5 7/8,"Commercial recapture on 8/16/20 in 5 3/4 + 5 7/8 net, recheck this! We have a Unalakleet upriver detection"
5535,8/12/2020,33,2,12,4,S,10:10,M,525,,,2.1,64.18191,-160.95750,5/8,1.2,1,54,58,1,,75,1,a,Unalakleet,,,,
5555,8/12/2020,33,2,12,6,N,10:25,M,579,10:30,,2.1,64.18191,-160.95750,5/8,1.2,1,54,58,1,,75,1,a,Unalakleet,8/13/2020,20:16:57,,
5575,8/12/2020,33,2,12,7,N,10:26,M,554,10:31,,2.1,64.18191,-160.95750,5/8,1.2,1,54,58,1,,75,1,a,Unalakleet,,,,
5595,8/12/2020,33,2,12,8,S,10:27,F,585,10:32,,2.1,64.18191,-160.95750,5/8,1.2,1,54,58,1,,75,1,b,Unalakleet,8-15,,5 3/4,
5615,8/12/2020,33,2,12,9,S,10:37,F,481,10:42,,2.1,64.18191,-160.95750,5/8,1.2,1,54,58,1,,75,1,a,Shaktoolik,,,,"Entered Shaktoolik 8/15, left 8/30"
5635,8/12/2020,33,2,12,10,S,10:38,F,566,10:42,Large.,1.1,64.18191,-160.95750,5/8,1.2,1,54,58,1,,75,4,,,,,,
5655,8/12/2020,33,2,13,1,N,10:42,F,513,10:56,Small.,2.1,64.18191,-160.95750,5/8,1.2,1,54,58,1,,75,1,a,Golsovia,8/14/2020,14:27:48,,
5675,8/12/2020,33,2,13,2,S,11:03,F,561,11:10,,2.1,64.18191,-160.95750,7/8,1.2,1,54,58,1,,75,2,a,S,,,,
5695,8/12/2020,33,2,13,3,S,11:05,M,544,11:10,,2.1,64.18191,-160.95750,7/8,1.2,1,54,58,1,,75,3,a,,,,,
5715,8/12/2020,33,2,13,4,S,11:15,F,517,11:27,,2.1,64.18191,-160.95750,7/8,1.2,1,54,58,1,,75,2,a,S,,,,
5735,8/12/2020,33,2,13,5,N,11:19,M,494,11:27,,2.1,64.18191,-160.95750,7/8,1.2,1,54,58,1,,75,1,b,Unalakleet,8/14/2020,9:00:00,5 7/8,
5755,8/12/2020,33,2,13,6,S,11:52,F,554,11:57,,3,64.18191,-160.95750,7/8,1.2,1,54,58,1,,75,1,a,Shaktoolik,,,,
5775,8/12/2020,33,2,13,7,N,12:10,M,464,12:26,Small.,3.1,64.18191,-160.95750,5/8,1.2,1,54,58,1,,75,1,a,Shaktoolik,8/19/2020,18:57:18,,
5795,8/12/2020,33,2,13,8,N,12:14,F,549,12:24,,2.1,64.18191,-160.95750,7/8,1.2,1,54,58,1,,75,1,a,Unalakleet,8/13/2020,20:05:49,,
5815,8/12/2020,33,2,13,9,S,12:29,M,567,12:42,,3,64.18191,-160.95750,7/8,1.2,1,54,58,1,,75,1,a,Unalakleet,,,,
5835,8/12/2020,33,2,13,10,S,12:29,F,535,12:43,,2.1,64.18191,-160.95750,7/8,1.2,1,54,58,1,,75,1,a,Ungalik,8/17/2020,6:52:43,,
5855,8/12/2020,33,2,14,1,N,12:34,F,526,12:43,,2.1,64.18191,-160.95750,7/8,1.2,1,54,58,1,,75,2,a,S,,,,
5875,8/12/2020,33,2,14,2,S,13:11,F,583,13:21,,2.1,64.18191,-160.95750,7/8,1.2,1,54,58,1,,75,2,a,S,,,,
5895,8/12/2020,33,2,14,3,S,13:21,M,494,13:21,Small.,3.1,64.18191,-160.95750,7/8,1.2,1,54,58,1,,75,3,a,,,,,
5915,8/12/2020,33,2,14,4,S,13:30,F,555,13:35,,1.1,64.18191,-160.95750,SN,1.2,1,54,58,1,,75,1,a,Unalakleet,8/15/2020,14:09:31,,
5935,8/12/2020,33,2,14,5,S,13:51,M,469,14:05,,2.1,64.18191,-160.95750,SN,1.2,1,54,58,1,,75,3,a,,,,,
5955,8/12/2020,33,2,14,6,S,13:53,M,520,14:05,,2.1,64.18191,-160.95750,SN,1.2,1,54,58,1,,75,1,a,Unalakleet,,,,
5975,8/12/2020,33,2,14,7,N,13:53,F,524,14:05,,2.1,64.18191,-160.95750,SN,1.2,1,54,58,1,,75,3,a,,,,,
5995,8/12/2020,33,2,14,8,S,13:56,F,549,14:05,,2.1,64.18191,-160.95750,SN,1.2,1,54,58,1,,75,2,a,S,,,,
6015,8/12/2020,33,2,14,9,S,14:12,M,485,14:18,Small.,1.1,64.18191,-160.95750,SN,1.2,1,54,58,1,,75,1,a,Shaktoolik,,,,"Entered Shaktoolik 8/15, left 9/9"
6035,8/12/2020,33,2,14,10,S,14:13,M,576,14:19,,3.1,64.18191,-160.95750,SN,1.2,1,54,58,1,,75,4,,,,,,
6055,8/12/2020,33,2,15,1,S,14:13,M,544,14:18,,2.1,64.18191,-160.95750,SN,1.2,1,54,61,1,,75,1,a,Unalakleet,,,,
6075,8/12/2020,33,2,15,2,S,14:14,F,494,14:19,Small.,1.1,64.18191,-160.95750,SN,1.2,1,54,61,1,,75,1,a,Shaktoolik,8/16/2020,8:07:48,,
6095,8/12/2020,33,2,15,3,S,14:28,F,575,14:33,,3,64.18191,-160.95750,7/8,1.2,1,54,61,1,,75,1,a,Unalakleet,8/14/2020,6:08:39,,
6115,8/12/2020,33,2,15,4,S,14:30,F,515,14:35,,8,64.18191,-160.95750,7/8,1.2,1,54,61,1,,75,1,a,Unalakleet,8/13/2020,17:34:31,,
6135,8/12/2020,33,2,15,5,S,14:52,F,519,15:00,,2.1,64.18191,-160.95750,7/8,1.2,1,54,61,1,,75,1,a,Egavik,8/17/2020,21:37:00,,
6155,8/12/2020,33,2,15,6,S,14:53,M,480,15:00,Small.,3,64.18191,-160.95750,7/8,1.2,1,54,61,1,,75,3,a,,,,,
6175,8/12/2020,33,2,15,7,N,15:05,M,559,15:10,,2.1,64.18191,-160.95750,7/8,1.2,1,54,61,1,,75,1,b,Unalakleet,8/22/2020,17:00:00,5 3/4,
6195,8/13/2020,33,2,16,1,N,9:11,M,520,9:15,,4,64.29974,-161.10029,7/8,1,0.75,56,57,2,W,100,4,,,,,,
6215,8/13/2020,33,2,16,2,N,9:23,F,510,9:32,,2.1,64.29974,-161.10029,5/8,1,0.75,56,57,2,W,100,1,c,Shaktoolik,8/15/2020,,RR,
6235,8/13/2020,33,2,16,3,N,9:23,F,560,9:32,,1.1,64.29974,-161.10029,5/8,1,0.75,56,57,2,W,100,3,b,6,8/16/2020,14:00,5 3/4,
6255,8/13/2020,33,2,16,4,S,9:40,M,553,9:45,Recapture going North.,3,64.29974,-161.10029,5/8,1,0.75,56,57,2,W,100,4,,,,,,
6275,8/13/2020,33,2,16,5,S,9:41,M,556,9:46,,2.1,64.29974,-161.10029,5/8,1,0.75,56,57,2,W,100,1,a,Shaktoolik,8/16/2020,6:15:08,,
6295,8/13/2020,33,2,16,6,N,9:54,F,535,10:00,,2.1,64.29974,-161.10029,5/8,1,0.75,56,57,2,W,100,3,b,6,8/16/2020,,5 3/4 + 5 7/8,
6315,8/13/2020,33,2,16,7,S,9:56,F,568,10:01,,3,64.29974,-161.10029,7/8,1,0.75,56,57,2,W,100,1,a,Shaktoolik,8/15/2020,13:47:50,,
6335,8/13/2020,33,2,16,8,S,10:39,M,581,10:43,,2.1,64.29974,-161.10029,5/8,1,0.75,56,57,2,W,100,2,a,S,,,,
6355,8/13/2020,33,2,16,9,N,10:49,F,556,10:53,,2.1,64.29974,-161.10029,7/8,1,0.75,56,57,2,W,100,3,a,,,,,
6375,8/13/2020,33,2,16,10,S,10:57,F,557,10:59,,2.1,64.29974,-161.10029,5/8,1,0.75,56,57,2,W,100,1,a,Ungalik,8/15/2020,8:23:51,,
6395,8/13/2020,33,2,17,1,S,10:57,F,506,11:03,,1.1,64.29974,-161.10029,5/8,1,0.75,56,57,2,W,100,4,,,,,,
6415,8/17/2020,34,2,18,1,S,11:34,M,509,11:37,,1.1,64.30146,-161.10429,5/8,1.25,1,69,58,12,S,0,2,a,S,,,,
6435,8/17/2020,34,2,18,2,N,11:39,M,571,11:45,,2.1,64.30146,-161.10429,5/8,1.25,1,69,58,12,S,0,4,,,,,,
6455,8/17/2020,34,2,18,3,N,11:58,F,577,12:02,,1.1,64.30146,-161.10429,5/8,1.25,1,69,58,12,S,0,4,,,,,,
6475,8/17/2020,34,2,18,4,N,12:13,F,587,12:16,,3.1,64.30146,-161.10429,5/8,1.25,1,69,58,12,S,0,1,a,Shaktoolik,8/21/2020,8:13:38,,
6495,8/17/2020,34,2,18,5,N,12:13,F,533,12:18,,3,64.30146,-161.10429,5/8,1.25,1,69,58,12,S,0,4,,,,,,
6515,8/17/2020,34,2,18,6,S,13:06,M,545,13:09,,2.1,64.30146,-161.10429,5/8,1.25,1,69,58,12,S,0,3,a,,,,,
6535,8/17/2020,34,2,18,7,S,13:37,M,551,13:42,Reset net,1.1,64.30146,-161.10429,7/8,1.25,1,69,58,1,,0,1,a,Shaktoolik,8/20/2020,23:21:44,seine,Recaptured inriver 8/20/20 with seine at 23:00:00
6555,8/17/2020,34,2,18,8,N,13:45,M,554,13:49,,2.1,64.30146,-161.10429,7/8,1.25,1,69,58,1,,0,1,a,Shaktoolik,8/22/2020,5:29:51,,
6575,8/17/2020,34,2,18,9,N,14:16,F,484,14:23,,1.1,64.30146,-161.10429,7/8,1.25,1,69,58,1,,0,1,a,Unalakleet,8/20/2020,16:34:06,,
6595,8/17/2020,34,2,18,10,S,14:41,F,585,14:48,,2.1,64.30146,-161.10429,7/8,1.25,1,69,58,1,,0,1,a,Shaktoolik,8/21/2020,20:34:40,,
6615,8/17/2020,34,2,19,1,N,15:00,M,512,15:08,,1.1,64.30146,-161.10429,7/8,1.25,1,69,58,1,,0,3,a,,,,,
6635,8/17/2020,34,2,19,2,N,15:00,M,532,15:08,,1.1,64.30146,-161.10429,7/8,1.25,1,69,58,1,,0,2,a,S,,,,
6655,8/17/2020,34,2,19,3,N,15:15,M,503,15:20,,3,64.30146,-161.10429,7/8,1.25,1,69,58,1,,0,1,a,Tagoomenik,8/19/2020,12:04:57,,
6675,8/17/2020,34,2,19,4,N,15:29,F,510,15:33,,3,64.30146,-161.10429,7/8,1.25,1,69,58,1,,0,1,a,Shaktoolik,8/18/2020,21:51:12,,
6695,8/17/2020,34,2,19,5,S,15:49,F,561,15:53,,2.1,64.30146,-161.10429,7/8,1.25,1,69,58,1,,0,1,a,Shaktoolik,8/19/2020,7:56:16,,
6715,8/17/2020,34,2,19,6,S,16:10,F,537,16:15,,2.1,64.30146,-161.10429,7/8,1.25,1,69,58,1,,0,1,a,Shaktoolik,8/21/2020,15:33:56,,
6735,8/17/2020,34,2,19,7,S,16:12,M,598,16:16,Large.,1.1,64.30146,-161.10429,7/8,1.25,1,69,58,1,,0,4,,,,,,
6755,8/18/2020,34,2,20,1,N,13:37,F,489,13:41,,1.1,64.27301,-161.04781,5/8,100,100,64,60,,,,1,a,Unalakleet,,,,
6775,8/18/2020,34,2,20,2,N,13:37,M,584,13:43,Bite mark.,2.1,64.27301,-161.04781,5/8,100,100,64,60,,,,3,a,,,,,
6795,8/18/2020,34,2,20,3,N,13:38,M,565,13:45,,7,64.27301,-161.04781,5/8,100,100,64,60,,,,1,a,Egavik,8/20/2020,5:38:54,,Chinook 
6815,8/18/2020,34,2,20,4,N,14:59,M,552,15:03,,2.1,64.27301,-161.04781,5/8,100,100,64,60,,,,1,a,Unalakleet,8/21/2020,17:03:59,,
6835,8/18/2020,34,2,20,5,N,14:59,F,573,15:05,,1.1,64.27301,-161.04781,5/8,100,100,64,60,,,,3,a,,,,,
6855,8/18/2020,34,2,20,6,N,15:14,F,574,15:20,,3.1,64.27301,-161.04781,7/8,100,100,64,60,,,,4,,,,,,
6875,8/20/2020,34,2,21,1,S,9:27,M,486,9:33,,1.1,64.31762,-161.13248,7/8,0.4,0.2,56,59,5,W,100,1,a,Shaktoolik,8/23/2020,22:20:17,,
6895,8/20/2020,34,2,21,2,S,10:03,M,526,10:15,Spawning colors,3,64.31762,-161.13248,7/8,0.4,0.2,56,59,5,W,100,1,a,Shaktoolik,8/24/2020,19:24:14,,
6915,8/20/2020,34,2,21,3,N,10:37,F,545,10:43,,3,64.31762,-161.13248,7/8,0.4,0.2,56,59,5,W,100,4,,,,,,
6935,8/20/2020,34,2,21,4,N,10:54,F,556,11:00,,2.1,64.31762,-161.13248,7/8,0.4,0.2,56,59,5,W,100,1,a,Shaktoolik,8/22/2020,9:54:53,,
6955,8/20/2020,34,2,21,5,S,10:55,M,509,11:00,Small,1.1,64.31762,-161.13248,7/8,0.4,0.2,56,59,5,W,100,1,a,Unalakleet,8/23/2020,21:10:09,,
